code,description_short,description_long,is_billable,status,valid_from
RB,"Replacement part, dme item","Replacement of a part of a dme, orthotic or prosthetic item furnished as part",,active,2009-01-01T00:00:00Z
RC,Right coronary artery,Right coronary artery,,active,1997-01-01T00:00:00Z
RD,Drug admin not incident-to,"Drug provided to beneficiary, but not administered ""incident-to""",,active,2004-01-01T00:00:00Z
RE,Furnish full compliance rems,Furnished in full compliance with fda-mandated risk evaluation and mitigation,,active,2009-01-01T00:00:00Z
RI,Ramus intermedius cor artery,Ramus intermedius coronary artery,,active,2013-01-01T00:00:00Z
RR,Rental (dme),Rental (use the 'rr' modifier when dme is to be rented),,active,1984-01-01T00:00:00Z
RT,Right side,Right side (used to identify procedures performed on the right side of the body),,active,1984-01-01T00:00:00Z
SA,Nurse practitioner w physici,Nurse practitioner rendering service in collaboration with a physician,,active,2001-07-01T00:00:00Z
SB,Nurse midwife,Nurse midwife,,active,2001-07-01T00:00:00Z
SC,Medically necessary serv/sup,Medically necessary service or supply,,active,2001-07-01T00:00:00Z
SD,Serv by home infusion rn,"Services provided by registered nurse with specialized, highly technical home",,active,2001-07-01T00:00:00Z
SE,State/fed funded program/ser,State and/or federally-funded programs/services,,active,2001-07-01T00:00:00Z
SF,2nd opinion ordered by pro,Second opinion ordered by a professional review organization (pro) per section,,active,1987-01-01T00:00:00Z
SG,Asc facility service,Ambulatory surgical center (asc) facility service,,active,1992-01-01T00:00:00Z
SH,2nd concurrent infusion ther,Second concurrently administered infusion therapy,,active,2001-07-01T00:00:00Z
SJ,3rd concurrent infusion ther,Third or more concurrently administered infusion therapy,,active,2001-07-01T00:00:00Z
SK,High risk population,Member of high risk population (use only with codes for immunization),,active,2002-04-01T00:00:00Z
SL,State supplied vaccine,State supplied vaccine,,active,2002-04-01T00:00:00Z
SM,Second opinion,Second surgical opinion,,active,2002-07-01T00:00:00Z
SN,Third opinion,Third surgical opinion,,active,2002-07-01T00:00:00Z
SQ,Item ordered by home health,Item ordered by home health,,active,2002-10-01T00:00:00Z
SS,Hit in infusion suite,Home infusion services provided in the infusion suite of the iv therapy provider,,active,2004-10-01T00:00:00Z
ST,Related to trauma or injury,Related to trauma or injury,,active,2003-01-01T00:00:00Z
SU,Performed in phys office,Procedure performed in physician's office (to denote use of facility and,,active,2003-01-01T00:00:00Z
SV,Drugs delivered not used,Pharmaceuticals delivered to patient's home but not utilized,,active,2003-01-01T00:00:00Z
SW,Serv by cert diab educator,Services provided by a certified diabetic educator,,active,2004-04-01T00:00:00Z
SY,Contact w/high-risk pop,Persons who are in close contact with member of high-risk population (use only,,active,2005-01-01T00:00:00Z
SZ,Habilitative services,Habilitative services,,deprecated,2014-07-01T00:00:00Z
T1,"Left foot, second digit","Left foot, second digit",,active,1995-01-01T00:00:00Z
T2,"Left foot, third digit","Left foot, third digit",,active,1995-01-01T00:00:00Z
T3,"Left foot, fourth digit","Left foot, fourth digit",,active,1995-01-01T00:00:00Z
T4,"Left foot, fifth digit","Left foot, fifth digit",,active,1995-01-01T00:00:00Z
T5,"Right foot, great toe","Right foot, great toe",,active,1995-01-01T00:00:00Z
T6,"Right foot, second digit","Right foot, second digit",,active,1995-01-01T00:00:00Z
T7,"Right foot, third digit","Right foot, third digit",,active,1995-01-01T00:00:00Z
T8,"Right foot, fourth digit","Right foot, fourth digit",,active,1995-01-01T00:00:00Z
T9,"Right foot, fifth digit","Right foot, fifth digit",,active,1995-01-01T00:00:00Z
TA,"Left foot, great toe","Left foot, great toe",,active,1995-01-01T00:00:00Z
TB,340b drug,"Drug or biological acquired with 340b drug pricing program discount, reported",,active,2018-01-01T00:00:00Z
TC,Technical component,"Technical component; under certain circumstances, a charge may be made for the",,active,1984-01-01T00:00:00Z
TD,Rn,Rn,,active,2001-07-01T00:00:00Z
TE,Lpn/lvn,Lpn/lvn,,active,2001-07-01T00:00:00Z
TF,Intermediate level of care,Intermediate level of care,,active,2001-07-01T00:00:00Z
TG,Complex/high tech level care,Complex/high tech level of care,,active,2001-07-01T00:00:00Z
TH,Ob tx/srvcs prenatl/postpart,"Obstetrical treatment/services, prenatal or postpartum",,active,2001-07-01T00:00:00Z
TJ,Child/adolescent program gp,"Program group, child and/or adolescent",,active,2001-07-01T00:00:00Z
TK,Extra patient or passenger,"Extra patient or passenger, non-ambulance",,active,2002-04-01T00:00:00Z
TL,Early intervention ifsp,Early intervention/individualized family service plan (ifsp),,active,2002-04-01T00:00:00Z
TM,Individualized ed prgrm(iep),Individualized education program (iep),,active,2002-04-01T00:00:00Z
TN,Rural/out of service area,Rural/outside providers' customary service area,,active,2002-04-01T00:00:00Z
TP,Med transprt unloaded vehicl,"Medical transport, unloaded vehicle",,active,2002-04-01T00:00:00Z
TQ,Bls by volunteer amb providr,Basic life support transport by a volunteer ambulance provider,,active,2002-04-01T00:00:00Z
TR,School-based iep out of dist,School-based individualized education program (iep) services provided outside,,active,2002-07-01T00:00:00Z
TS,Follow-up service,Follow-up service,,active,2002-10-01T00:00:00Z
TT,Additional patient,Individualized service provided to more than one patient in same setting,,active,2002-10-01T00:00:00Z
TU,Overtime payment rate,"Special payment rate, overtime",,active,2003-01-01T00:00:00Z
TV,Holiday/weekend payment rate,"Special payment rates, holidays/weekends",,active,2003-01-01T00:00:00Z
TW,Back-up equipment,Back-up equipment,,active,2003-01-01T00:00:00Z
U1,M/caid care lev 1 state def,"Medicaid level of care 1, as defined by each state",,active,2002-07-01T00:00:00Z
U2,M/caid care lev 2 state def,"Medicaid level of care 2, as defined by each state",,active,2002-07-01T00:00:00Z
U3,M/caid care lev 3 state def,"Medicaid level of care 3, as defined by each state",,active,2002-07-01T00:00:00Z
U4,M/caid care lev 4 state def,"Medicaid level of care 4, as defined by each state",,active,2002-07-01T00:00:00Z
U5,M/caid care lev 5 state def,"Medicaid level of care 5, as defined by each state",,active,2002-07-01T00:00:00Z
U6,M/caid care lev 6 state def,"Medicaid level of care 6, as defined by each state",,active,2002-07-01T00:00:00Z
U7,M/caid care lev 7 state def,"Medicaid level of care 7, as defined by each state",,active,2002-07-01T00:00:00Z
U8,M/caid care lev 8 state def,"Medicaid level of care 8, as defined by each state",,active,2002-07-01T00:00:00Z
U9,M/caid care lev 9 state def,"Medicaid level of care 9, as defined by each state",,active,2002-07-01T00:00:00Z
UA,M/caid care lev 10 state def,"Medicaid level of care 10, as defined by each state",,active,2002-07-01T00:00:00Z
UB,M/caid care lev 11 state def,"Medicaid level of care 11, as defined by each state",,active,2002-07-01T00:00:00Z
UC,M/caid care lev 12 state def,"Medicaid level of care 12, as defined by each state",,active,2002-07-01T00:00:00Z
UD,M/caid care lev 13 state def,"Medicaid level of care 13, as defined by each state",,active,2002-07-01T00:00:00Z
UE,Used durable med equipment,Used durable medical equipment,,active,1984-01-01T00:00:00Z
UF,"Services provided, morning",Services provided in the morning,,active,2003-04-01T00:00:00Z
UG,"Services provided, afternoon",Services provided in the afternoon,,active,2003-04-01T00:00:00Z
UH,"Services provided, evening",Services provided in the evening,,active,2003-04-01T00:00:00Z
UJ,"Services provided, night",Services provided at night,,active,2003-04-01T00:00:00Z
UK,Svc on behalf client-collat,Services provided on behalf of the client to someone other than the client,,active,2003-04-01T00:00:00Z
UN,Two patients served,Two patients served,,active,2004-01-01T00:00:00Z
UP,Three patients served,Three patients served,,active,2004-01-01T00:00:00Z
UQ,Four patients served,Four patients served,,active,2004-01-01T00:00:00Z
UR,Five patients served,Five patients served,,active,2004-01-01T00:00:00Z
US,Six or more patients served,Six or more patients served,,active,2004-01-01T00:00:00Z
V1,Demonstration modifier 1,Demonstration modifier 1,,active,2017-01-01T00:00:00Z
V2,Demonstration modifier 2,Demonstration modifier 2,,active,2017-01-01T00:00:00Z
V3,Demonstration modifier 3,Demonstration modifier 3,,active,2017-01-01T00:00:00Z
V4,Demonstration modifier 4,Demonstration modifier 4,,active,2020-10-01T00:00:00Z
V5,Vascular catheter,Vascular catheter (alone or with any other vascular access),,active,2010-01-01T00:00:00Z
V6,Arteriovenous graft,Arteriovenous graft (or other vascular access not including a vascular catheter),,active,2010-01-01T00:00:00Z
V7,Arteriovenous fistula,Arteriovenous fistula only (in use with two needles),,active,2010-01-01T00:00:00Z
V8,Infection present,Infection present,,deprecated,2010-01-01T00:00:00Z
V9,No infection present,No infection present,,deprecated,2010-01-01T00:00:00Z
VM,Mdpp virtual make-up session,Medicare diabetes prevention program (mdpp) virtual make-up session,,active,2018-04-01T00:00:00Z
VP,Aphakic patient,Aphakic patient,,active,1984-01-01T00:00:00Z
X1,Continuous/broad services,"Continuous/broad services: for reporting services by clinicians, who provide",,active,2018-01-01T00:00:00Z
X2,Continuous/focused services,Continuous/focused services: for reporting services by clinicians whose,,active,2018-01-01T00:00:00Z
X3,Episodic/broad services,Episodic/broad services: for reporting services by clinicians who have broad,,active,2018-01-01T00:00:00Z
X4,Episodic/focused services,Episodic/focused services: for reporting services by clinicians who provide,,active,2018-01-01T00:00:00Z
X5,Svc req by another clinician,Diagnostic services requested by another clinician: for reporting services by a,,active,2018-01-01T00:00:00Z
XE,Separate encounter,"Separate encounter, a service that is distinct because it occurred during a",,active,2015-01-01T00:00:00Z
XP,Separate practitioner,"Separate practitioner, a service that is distinct because it was performed by a",,active,2015-01-01T00:00:00Z
XS,Separate organ/structure,"Separate structure, a service that is distinct because it was performed on a",,active,2015-01-01T00:00:00Z
XU,Unusual separate service,"Unusual non-overlapping service, the use of a service that is distinct because",,active,2015-01-01T00:00:00Z
ZA,Novartis/sandoz,Novartis/sandoz,,deprecated,2016-01-01T00:00:00Z
ZB,Pfizer/hospira,Pfizer/hospira,,deprecated,2016-07-01T00:00:00Z
ZC,Merck/samsung bioepis,Merck/samsung bioepis,,deprecated,2017-10-01T00:00:00Z
