code,description_short,description_long,is_billable,status,valid_from
J0480,Basiliximab,"Injection, basiliximab, 20 mg",True,active,2006-01-01T00:00:00Z
J0485,Belatacept injection,"Injection, belatacept, 1 mg",True,active,2013-01-01T00:00:00Z
J0490,Belimumab injection,"Injection, belimumab, 10 mg",True,active,2012-01-01T00:00:00Z
J0491,Inj anifrolumab-fnia 1mg,"Injection, anifrolumab-fnia, 1 mg",True,active,2022-04-01T00:00:00Z
J0500,Dicyclomine injection,"Injection, dicyclomine hcl, up to 20 mg",True,active,1986-01-01T00:00:00Z
J0515,Inj benztropine mesylate,"Injection, benztropine mesylate, per 1 mg",True,active,1982-01-01T00:00:00Z
J0517,"Inj., benralizumab, 1 mg","Injection, benralizumab, 1 mg",True,active,2019-01-01T00:00:00Z
J0520,Bethanechol chloride inject,"Injection, bethanechol chloride, myotonachol or urecholine, up to 5 mg",True,active,1984-01-01T00:00:00Z
J0525,Inj cefotetan disodium 10 mg,"Injection, cefotetan disodium, 10 mg",True,active,2025-10-01T00:00:00Z
J0558,Peng benzathine/procaine inj,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",True,active,2011-01-01T00:00:00Z
J0561,Penicillin g benzathine inj,"Injection, penicillin g benzathine, 100,000 units",True,active,2011-01-01T00:00:00Z
J0565,"Inj, bezlotoxumab, 10 mg","Injection, bezlotoxumab, 10 mg",True,active,2018-01-01T00:00:00Z
J0567,"Inj., cerliponase alfa 1 mg","Injection, cerliponase alfa, 1 mg",True,active,2019-01-01T00:00:00Z
J0570,Buprenorphine implant 74.2mg,"Buprenorphine implant, 74.2 mg",True,active,2017-01-01T00:00:00Z
J0571,Buprenorphine oral 1mg,"Buprenorphine, oral, 1 mg",True,active,2015-01-01T00:00:00Z
J0572,Bupren/nal up to 3mg bupreno,"Buprenorphine/naloxone, oral, less than or equal to 3 mg buprenorphine",True,active,2015-01-01T00:00:00Z
J0573,Bupren/nal 3.1 to 6mg bupren,"Buprenorphine/naloxone, oral, greater than 3 mg, but less than or equal to 6 mg",True,active,2015-01-01T00:00:00Z
J0574,Bupren/nal 6.1 to 10mg bupre,"Buprenorphine/naloxone, oral, greater than 6 mg, but less than or equal to 10",True,active,2015-01-01T00:00:00Z
J0575,Bupren/nal over 10mg bupreno,"Buprenorphine/naloxone, oral, greater than 10 mg buprenorphine",True,active,2015-01-01T00:00:00Z
J0576,Inj buprenorph (brixadi) 1mg,"Injection, buprenorphine extended-release (brixadi), 1 mg",True,deprecated,2024-01-01T00:00:00Z
J0577,"Inj, brixadi, 7 days or less","Injection, buprenorphine extended-release (brixadi), less than or equal to 7",True,active,2024-04-01T00:00:00Z
J0578,"Inj brixadi, more than 7 day","Injection, buprenorphine extended release (brixadi), greater than 7 days and up",True,active,2024-04-01T00:00:00Z
J0582,Bivalirudin (endo) 1 mg,"Injection, bivalirudin (endo), not therapeutically equivalent to j0583, 1 mg",True,active,2025-10-01T00:00:00Z
J0583,Bivalirudin,"Injection, bivalirudin, 1 mg",True,active,2004-01-01T00:00:00Z
J0584,"Injection, burosumab-twza 1m","Injection, burosumab-twza 1 mg",True,active,2019-01-01T00:00:00Z
J0585,"Injection,onabotulinumtoxina","Injection, onabotulinumtoxina, 1 unit",True,active,1991-01-01T00:00:00Z
J0586,Abobotulinumtoxina,"Injection, abobotulinumtoxina, 5 units",True,active,2010-01-01T00:00:00Z
J0587,"Inj, rimabotulinumtoxinb","Injection, rimabotulinumtoxinb, 100 units",True,active,2002-01-01T00:00:00Z
J0588,Incobotulinumtoxin a,"Injection, incobotulinumtoxin a, 1 unit",True,active,2012-01-01T00:00:00Z
J0589,Inj daxibotulinumtoxina-lanm,"Injection, daxibotulinumtoxina-lanm, 1 unit",True,active,2024-04-01T00:00:00Z
