parent_code,child_code,relationship
A81,A81.8,is-a
A81,A81.9,is-a
A81.0,A81.00,is-a
A81.0,A81.01,is-a
A81.0,A81.09,is-a
A81.8,A81.81,is-a
A81.8,A81.82,is-a
A81.8,A81.83,is-a
A81.8,A81.89,is-a
A82,A82.0,is-a
A82,A82.1,is-a
A82,A82.9,is-a
A83,A83.0,is-a
A83,A83.1,is-a
A83,A83.2,is-a
A83,A83.3,is-a
A83,A83.4,is-a
A83,A83.5,is-a
A83,A83.6,is-a
A83,A83.8,is-a
A83,A83.9,is-a
A84,A84.0,is-a
A84,A84.1,is-a
A84,A84.8,is-a
A84,A84.9,is-a
A84.8,A84.81,is-a
A84.8,A84.89,is-a
A85,A85.0,is-a
A85,A85.1,is-a
A85,A85.2,is-a
A85,A85.8,is-a
A87,A87.0,is-a
A87,A87.1,is-a
A87,A87.2,is-a
A87,A87.8,is-a
A87,A87.9,is-a
A88,A88.0,is-a
A88,A88.1,is-a
A88,A88.8,is-a
A92,A92.0,is-a
A92,A92.1,is-a
A92,A92.2,is-a
A92,A92.3,is-a
A92,A92.4,is-a
A92,A92.5,is-a
A92,A92.8,is-a
A92,A92.9,is-a
A92.3,A92.30,is-a
A92.3,A92.31,is-a
A92.3,A92.32,is-a
A92.3,A92.39,is-a
A93,A93.0,is-a
A93,A93.1,is-a
A93,A93.2,is-a
A93,A93.8,is-a
A95,A95.0,is-a
A95,A95.1,is-a
A95,A95.9,is-a
A96,A96.0,is-a
A96,A96.1,is-a
A96,A96.2,is-a
A96,A96.8,is-a
A96,A96.9,is-a
A98,A98.0,is-a
A98,A98.1,is-a
A98,A98.2,is-a
A98,A98.3,is-a
A98,A98.4,is-a
A98,A98.5,is-a
A98,A98.8,is-a
B00,B00.0,is-a
B00,B00.1,is-a
B00,B00.2,is-a
B00,B00.3,is-a
B00,B00.4,is-a
B00,B00.5,is-a
B00,B00.7,is-a
B00,B00.8,is-a
B00,B00.9,is-a
B00.5,B00.50,is-a
B00.5,B00.51,is-a
B00.5,B00.52,is-a
B00.5,B00.53,is-a
B00.5,B00.59,is-a
B00.8,B00.81,is-a
B00.8,B00.82,is-a
B00.8,B00.89,is-a
B01,B01.0,is-a
B01,B01.1,is-a
B01,B01.2,is-a
B01,B01.8,is-a
B01,B01.9,is-a
B01.1,B01.11,is-a
B01.1,B01.12,is-a
B01.8,B01.81,is-a
B01.8,B01.89,is-a
B02,B02.0,is-a
B02,B02.1,is-a
B02,B02.2,is-a
B02,B02.3,is-a
B02,B02.7,is-a
B02,B02.8,is-a
B02,B02.9,is-a
B02.2,B02.21,is-a
B02.2,B02.22,is-a
B02.2,B02.23,is-a
B02.2,B02.24,is-a
B02.2,B02.29,is-a
B02.3,B02.30,is-a
B02.3,B02.31,is-a
B02.3,B02.32,is-a
B02.3,B02.33,is-a
B02.3,B02.34,is-a
B02.3,B02.39,is-a
B05,B05.0,is-a
B05,B05.1,is-a
B05,B05.2,is-a
B05,B05.3,is-a
B05,B05.4,is-a
B05,B05.8,is-a
B05,B05.9,is-a
B05.8,B05.81,is-a
B05.8,B05.89,is-a
B06,B06.0,is-a
B06,B06.8,is-a
B06,B06.9,is-a
B06.0,B06.00,is-a
B06.0,B06.01,is-a
B06.0,B06.02,is-a
B06.0,B06.09,is-a
B06.8,B06.81,is-a
B06.8,B06.82,is-a
B06.8,B06.89,is-a
B07,B07.0,is-a
B07,B07.8,is-a
B07,B07.9,is-a
B08,B08.0,is-a
B08,B08.1,is-a
B08,B08.2,is-a
B08,B08.3,is-a
B08,B08.4,is-a
B08,B08.5,is-a
B08,B08.6,is-a
B08,B08.7,is-a
B08,B08.8,is-a
B08.0,B08.01,is-a
B08.0,B08.02,is-a
B08.0,B08.03,is-a
B08.0,B08.04,is-a
B08.0,B08.09,is-a
B08.01,B08.010,is-a
B08.01,B08.011,is-a
B08.2,B08.20,is-a
B08.2,B08.21,is-a
B08.2,B08.22,is-a
B08.6,B08.60,is-a
B08.6,B08.61,is-a
B08.6,B08.62,is-a
B08.6,B08.69,is-a
B08.7,B08.70,is-a
B08.7,B08.71,is-a
B08.7,B08.72,is-a
B08.7,B08.79,is-a
B10,B10.0,is-a
B10,B10.8,is-a
B10.0,B10.01,is-a
B10.0,B10.09,is-a
B10.8,B10.81,is-a
B10.8,B10.82,is-a
B10.8,B10.89,is-a
B15,B15.0,is-a
B15,B15.9,is-a
B16,B16.0,is-a
B16,B16.1,is-a
B16,B16.2,is-a
B16,B16.9,is-a
B17,B17.0,is-a
B17,B17.1,is-a
B17,B17.2,is-a
B17,B17.8,is-a
B17,B17.9,is-a
B17.1,B17.10,is-a
B17.1,B17.11,is-a
B18,B18.0,is-a
B18,B18.1,is-a
B18,B18.2,is-a
B18,B18.8,is-a
B18,B18.9,is-a
B19,B19.0,is-a
B19,B19.1,is-a
B19,B19.2,is-a
B19,B19.9,is-a
B19.1,B19.10,is-a
B19.1,B19.11,is-a
B19.2,B19.20,is-a
B19.2,B19.21,is-a
B25,B25.0,is-a
B25,B25.1,is-a
B25,B25.2,is-a
B25,B25.8,is-a
B25,B25.9,is-a
B26,B26.0,is-a
B26,B26.1,is-a
B26,B26.2,is-a
B26,B26.3,is-a
B26,B26.8,is-a
B26,B26.9,is-a
B26.8,B26.81,is-a
B26.8,B26.82,is-a
