code,description_short,description_long,is_billable,status,valid_from
211,"National Drug Codes (NDC) not eligible for rebate, are not covered","National Drug Codes (NDC) not eligible for rebate, are not covered.",,active,2007-07-09T00:00:00Z
212,Administrative surcharges are not covered,Administrative surcharges are not covered,,active,2007-11-05T00:00:00Z
213,Non-compliance with the physician self referral prohibition legislation or payer policy,Non-compliance with the physician self referral prohibition legislation or payer policy.,,active,2008-01-27T00:00:00Z
214,Workers' Compensation claim adjudicated as non-compensable,"Workers' Compensation claim adjudicated as non-compensable. This Payer not liable for claim or service/treatment. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). To be used for Workers' Compensation only",,active,2008-01-27T00:00:00Z
215,Based on subrogation of a third party settlement,Based on subrogation of a third party settlement,,active,2008-01-27T00:00:00Z
216,Based on the findings of a review organization or the payer's findings,Based on the findings of a review organization or the payer's findings.,,active,2008-01-27T00:00:00Z
217,Based on payer reasonable and customary fees,Based on payer reasonable and customary fees. No maximum allowable defined by legislated fee arrangement. (Note: To be used for Property and Casualty only),,active,2008-01-27T00:00:00Z
218,Based on entitlement to benefits,"Based on entitlement to benefits. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). To be used for Workers' Compensation only",,active,2008-01-27T00:00:00Z
219,Based on extent of injury,"Based on extent of injury. Usage: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF).",,active,2008-01-27T00:00:00Z
22,This care may be covered by another payer per coordination of benefits,This care may be covered by another payer per coordination of benefits.,,active,1995-01-01T00:00:00Z
220,The applicable fee schedule/fee database does not contain the billed code,The applicable fee schedule/fee database does not contain the billed code. Please resubmit a bill with the appropriate fee schedule/fee database code(s) that best describe the service(s) provided and supporting documentation if required. (Note: To be used for Property and Casualty only),,active,2008-01-27T00:00:00Z
221,Claim is under investigation,"Claim is under investigation. Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF). (Note: To be used by Property & Casualty only)",,active,2008-01-27T00:00:00Z
222,Exceeds the contracted maximum number of hours/days/units by this provider for this period,"Exceeds the contracted maximum number of hours/days/units by this provider for this period. This is not patient specific. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2008-06-01T00:00:00Z
223,"Adjustment code for mandated federal, state or local law/regulation that is not","Adjustment code for mandated federal, state or local law/regulation that is not already covered by another code and is mandated before a new code can be created.",,active,2008-06-01T00:00:00Z
224,Patient identification compromised by identity theft,Patient identification compromised by identity theft. Identity verification required for processing this and future claims.,,active,2008-06-01T00:00:00Z
225,Penalty or Interest Payment by Payer (Only used for plan to plan encounter repor,Penalty or Interest Payment by Payer (Only used for plan to plan encounter reporting within the 837),,active,2008-06-01T00:00:00Z
226,Information requested from the Billing/Rendering Provider was not provided or no,"Information requested from the Billing/Rendering Provider was not provided or not provided timely or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2008-09-21T00:00:00Z
227,Information requested from the patient/insured/responsible party was not provided or was insufficient/incomplete,"Information requested from the patient/insured/responsible party was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2008-09-21T00:00:00Z
228,"Denied for failure of this provider, another provider or the subscriber to suppl","Denied for failure of this provider, another provider or the subscriber to supply requested information to a previous payer for their adjudication",,active,2008-09-21T00:00:00Z
229,Partial charge amount not considered by Medicare due to the initial claim Type of Bill being 12X,Partial charge amount not considered by Medicare due to the initial claim Type of Bill being 12X. Usage: This code can only be used in the 837 transaction to convey Coordination of Benefits information when the secondary payer's cost avoidance policy allows providers to bypass claim submission to a prior payer. (Use only with Group Code PR),,active,2009-01-25T00:00:00Z
23,The impact of prior payer(s) adjudication including payments and/or adjustments,The impact of prior payer(s) adjudication including payments and/or adjustments. (Use only with Group Code OA),,active,1995-01-01T00:00:00Z
230,No available or correlating CPT/HCPCS code to describe this service,No available or correlating CPT/HCPCS code to describe this service. Note: Used only by Property and Casualty.,,active,2009-01-25T00:00:00Z
231,Mutually exclusive procedures cannot be done in the same day/setting,"Mutually exclusive procedures cannot be done in the same day/setting. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2009-07-01T00:00:00Z
232,Institutional Transfer Amount,Institutional Transfer Amount. Usage: Applies to institutional claims only and explains the DRG amount difference when the patient care crosses multiple institutions.,,active,2009-11-01T00:00:00Z
233,Services/charges related to the treatment of a hospital-acquired condition or preventable medical error,Services/charges related to the treatment of a hospital-acquired condition or preventable medical error.,,active,2010-01-24T00:00:00Z
234,This procedure is not paid separately,"This procedure is not paid separately. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2010-01-24T00:00:00Z
235,Sales Tax,Sales Tax,,active,2010-06-06T00:00:00Z
